id,name,artist,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5llaVhaIoowKT3fqf2NfPO,Pehli Nazar Mein,Atif Aslam,romantic,0.4051841746248294,0.5713651766984024,9,-5.602,1,0.0775,0.251,0.0,0.107,0.669089725507215,0.7662118278657544,audio_features,5llaVhaIoowKT3fqf2NfPO,spotify:track:5llaVhaIoowKT3fqf2NfPO,https://api.spotify.com/v1/tracks/5llaVhaIoowKT3fqf2NfPO,https://api.spotify.com/v1/audio-analysis/5llaVhaIoowKT3fqf2NfPO,312893,4
6iXO4A5u0CRLNre9lSxntL,Romantic,Yusuke Honma,romantic,0.36698499317871763,0.27485073422623857,9,-17.467,0,0.0297,0.541,0.899,0.36,0.265487685797982,0.3131522720085157,audio_features,6iXO4A5u0CRLNre9lSxntL,spotify:track:6iXO4A5u0CRLNre9lSxntL,https://api.spotify.com/v1/tracks/6iXO4A5u0CRLNre9lSxntL,https://api.spotify.com/v1/audio-analysis/6iXO4A5u0CRLNre9lSxntL,183027,3
2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),Taylor Swift,romantic,0.6302864938608459,0.851742778763918,5,-5.936,1,0.0583,0.00516,4.24e-06,0.0798,0.7298470218075296,0.39839405135641726,audio_features,2vPMoMDXxu9uX1igWZmXSG,spotify:track:2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/tracks/2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/audio-analysis/2vPMoMDXxu9uX1igWZmXSG,230178,4
3JUmNYQyJKeRq2a3RR8K71,"Ijazat (From ""One Night Stand"")",Meet Bros.,romantic,0.44747612551159616,0.4634500564789415,6,-8.88,0,0.0264,0.327,0.0,0.106,0.1873711619832918,0.18972871655237855,audio_features,3JUmNYQyJKeRq2a3RR8K71,spotify:track:3JUmNYQyJKeRq2a3RR8K71,https://api.spotify.com/v1/tracks/3JUmNYQyJKeRq2a3RR8K71,https://api.spotify.com/v1/audio-analysis/3JUmNYQyJKeRq2a3RR8K71,288964,4
0FAkF04YFGK1DN0dATMcX2,Romantic,the chamo,romantic,0.2278308321964529,0.9102388252380184,5,-9.985,0,0.0441,0.775,0.922,0.182,0.35987848540739936,0.8611186103376194,audio_features,0FAkF04YFGK1DN0dATMcX2,spotify:track:0FAkF04YFGK1DN0dATMcX2,https://api.spotify.com/v1/tracks/0FAkF04YFGK1DN0dATMcX2,https://api.spotify.com/v1/audio-analysis/0FAkF04YFGK1DN0dATMcX2,150069,3
5HRkeHARMglmn1uKfyYvNt,Romantic Mashup 3,Raj Barman,romantic,0.7844474761255116,0.7740842343069227,7,-4.893,1,0.0549,0.259,0.0,0.157,0.7678203319952263,0.26680962335027736,audio_features,5HRkeHARMglmn1uKfyYvNt,spotify:track:5HRkeHARMglmn1uKfyYvNt,https://api.spotify.com/v1/tracks/5HRkeHARMglmn1uKfyYvNt,https://api.spotify.com/v1/audio-analysis/5HRkeHARMglmn1uKfyYvNt,441930,4
018eOid2aGaPdxon7T6GsC,"Shayad (From ""Love Aaj Kal"")",Pritam,romantic,0.4038199181446111,0.45639018880103277,8,-7.144,1,0.0319,0.789,1.79e-06,0.141,0.3219051752197027,0.5069305708754039,audio_features,018eOid2aGaPdxon7T6GsC,spotify:track:018eOid2aGaPdxon7T6GsC,https://api.spotify.com/v1/tracks/018eOid2aGaPdxon7T6GsC,https://api.spotify.com/v1/audio-analysis/018eOid2aGaPdxon7T6GsC,247941,4
6rPDrn83Edjzk3MCwRIoBI,Lofi Lovee,Ved Sharma,lofi,0.5961800818553888,0.5451428110375989,4,-6.167,1,0.068,0.333,0.0,0.132,0.4162959748291201,0.5673580524980137,audio_features,6rPDrn83Edjzk3MCwRIoBI,spotify:track:6rPDrn83Edjzk3MCwRIoBI,https://api.spotify.com/v1/tracks/6rPDrn83Edjzk3MCwRIoBI,https://api.spotify.com/v1/audio-analysis/6rPDrn83Edjzk3MCwRIoBI,210000,4
11na2yXOmMbkUL8f5j6vxZ,Main Rang Sharbaton Ka (Lofi Mix),Pritam,lofi,0.48567530695770805,0.43016782314022917,6,-10.917,1,0.0311,0.679,0.396,0.112,0.48790278832591955,0.0737023981240792,audio_features,11na2yXOmMbkUL8f5j6vxZ,spotify:track:11na2yXOmMbkUL8f5j6vxZ,https://api.spotify.com/v1/tracks/11na2yXOmMbkUL8f5j6vxZ,https://api.spotify.com/v1/audio-analysis/11na2yXOmMbkUL8f5j6vxZ,147000,4
1pnC5d46tqFwjqGtbjJPn7,Subhanallah Lofi Mix,Pritam,lofi,0.07912687585266032,0.4614329514281104,9,-6.897,1,0.0373,0.692,2.47e-06,0.249,0.11142454160789846,0.07347870691051583,audio_features,1pnC5d46tqFwjqGtbjJPn7,spotify:track:1pnC5d46tqFwjqGtbjJPn7,https://api.spotify.com/v1/tracks/1pnC5d46tqFwjqGtbjJPn7,https://api.spotify.com/v1/audio-analysis/1pnC5d46tqFwjqGtbjJPn7,199027,4
